year,stage,team_a,team_b,score_a,score_b,host
2006,GROUP,Germany,Costa Rica,4,2,Germany
2006,GROUP,England,Paraguay,1,0,Germany
2006,GROUP,Argentina,Ivory Coast,2,1,Germany
2006,GROUP,Netherlands,Serbia,1,0,Germany
2006,GROUP,Mexico,Iran,3,1,Germany
2006,GROUP,Italy,Ghana,2,0,Germany
2006,GROUP,Brazil,Croatia,1,0,Germany
2006,GROUP,France,Switzerland,0,0,Germany
2006,GROUP,Spain,Ukraine,4,0,Germany
2006,GROUP,Portugal,Angola,1,0,Germany
2006,R16,Germany,Sweden,2,0,Germany
2006,R16,Argentina,Mexico,2,1,Germany
2006,R16,England,Ecuador,1,0,Germany
2006,R16,Portugal,Netherlands,1,0,Germany
2006,R16,Italy,Australia,1,0,Germany
2006,R16,Brazil,Ghana,3,0,Germany
2006,R16,France,Spain,3,1,Germany
2006,QF,Germany,Argentina,1,1,Germany
2006,QF,Italy,Ukraine,3,0,Germany
2006,QF,Portugal,England,0,0,Germany
2006,QF,France,Brazil,1,0,Germany
2006,SF,Italy,Germany,2,0,Germany
2006,SF,France,Portugal,1,0,Germany
2006,3RD,Germany,Portugal,3,1,Germany
2006,FINAL,Italy,France,1,1,Germany
2010,GROUP,South Africa,Mexico,1,1,South Africa
2010,GROUP,Argentina,Nigeria,1,0,South Africa
2010,GROUP,Germany,Australia,4,0,South Africa
2010,GROUP,Netherlands,Denmark,2,0,South Africa
2010,GROUP,Brazil,North Korea,2,1,South Africa
2010,GROUP,Spain,Switzerland,0,1,South Africa
2010,GROUP,Italy,Paraguay,1,1,South Africa
2010,GROUP,England,USA,1,1,South Africa
2010,GROUP,France,Uruguay,0,0,South Africa
2010,GROUP,Portugal,Ivory Coast,0,0,South Africa
2010,R16,Uruguay,South Korea,2,1,South Africa
2010,R16,Ghana,USA,2,1,South Africa
2010,R16,Germany,England,4,1,South Africa
2010,R16,Argentina,Mexico,3,1,South Africa
2010,R16,Netherlands,Slovakia,2,1,South Africa
2010,R16,Brazil,Chile,3,0,South Africa
2010,R16,Paraguay,Japan,0,0,South Africa
2010,R16,Spain,Portugal,1,0,South Africa
2010,QF,Netherlands,Brazil,2,1,South Africa
2010,QF,Uruguay,Ghana,1,1,South Africa
2010,QF,Germany,Argentina,4,0,South Africa
2010,QF,Spain,Paraguay,1,0,South Africa
2010,SF,Netherlands,Uruguay,3,2,South Africa
2010,SF,Spain,Germany,1,0,South Africa
2010,3RD,Germany,Uruguay,3,2,South Africa
2010,FINAL,Spain,Netherlands,1,0,South Africa
2014,GROUP,Brazil,Croatia,3,1,Brazil
2014,GROUP,Mexico,Cameroon,1,0,Brazil
2014,GROUP,Netherlands,Spain,5,1,Brazil
2014,GROUP,Chile,Australia,3,1,Brazil
2014,GROUP,Colombia,Greece,3,0,Brazil
2014,GROUP,Ivory Coast,Japan,2,1,Brazil
2014,GROUP,Uruguay,Costa Rica,1,3,Brazil
2014,GROUP,England,Italy,1,2,Brazil
2014,GROUP,Switzerland,Ecuador,2,1,Brazil
2014,GROUP,France,Honduras,3,0,Brazil
2014,GROUP,Argentina,Bosnia,2,1,Brazil
2014,GROUP,Germany,Portugal,4,0,Brazil
2014,GROUP,USA,Ghana,2,1,Brazil
2014,GROUP,Belgium,Algeria,2,1,Brazil
2014,GROUP,Russia,South Korea,1,1,Brazil
2014,R16,Brazil,Chile,1,1,Brazil
2014,R16,Colombia,Uruguay,2,0,Brazil
2014,R16,Netherlands,Mexico,2,1,Brazil
2014,R16,Costa Rica,Greece,1,1,Brazil
2014,R16,France,Nigeria,2,0,Brazil
2014,R16,Germany,Algeria,2,1,Brazil
2014,R16,Argentina,Switzerland,1,0,Brazil
2014,R16,Belgium,USA,2,1,Brazil
2014,QF,France,Germany,0,1,Brazil
2014,QF,Brazil,Colombia,2,1,Brazil
2014,QF,Argentina,Belgium,1,0,Brazil
2014,QF,Netherlands,Costa Rica,0,0,Brazil
2014,SF,Brazil,Germany,1,7,Brazil
2014,SF,Netherlands,Argentina,0,0,Brazil
2014,3RD,Brazil,Netherlands,0,3,Brazil
2014,FINAL,Germany,Argentina,1,0,Brazil
2018,GROUP,Russia,Saudi Arabia,5,0,Russia
2018,GROUP,Egypt,Uruguay,0,1,Russia
2018,GROUP,Morocco,Iran,0,1,Russia
2018,GROUP,Portugal,Spain,3,3,Russia
2018,GROUP,France,Australia,2,1,Russia
2018,GROUP,Argentina,Iceland,1,1,Russia
2018,GROUP,Peru,Denmark,0,1,Russia
2018,GROUP,Croatia,Nigeria,2,0,Russia
2018,GROUP,Brazil,Switzerland,1,1,Russia
2018,GROUP,Germany,Mexico,0,1,Russia
2018,GROUP,Sweden,South Korea,1,0,Russia
2018,GROUP,Belgium,Panama,3,0,Russia
2018,GROUP,Tunisia,England,1,2,Russia
2018,GROUP,Colombia,Japan,1,2,Russia
2018,GROUP,Poland,Senegal,1,2,Russia
2018,R16,France,Argentina,4,3,Russia
2018,R16,Uruguay,Portugal,2,1,Russia
2018,R16,Spain,Russia,1,1,Russia
2018,R16,Croatia,Denmark,1,1,Russia
2018,R16,Brazil,Mexico,2,0,Russia
2018,R16,Belgium,Japan,3,2,Russia
2018,R16,Sweden,Switzerland,1,0,Russia
2018,R16,Colombia,England,1,1,Russia
2018,QF,France,Uruguay,2,0,Russia
2018,QF,Russia,Croatia,2,2,Russia
2018,QF,Brazil,Belgium,1,2,Russia
2018,QF,Sweden,England,0,2,Russia
2018,SF,France,Belgium,1,0,Russia
2018,SF,Croatia,England,2,1,Russia
2018,3RD,Belgium,England,2,0,Russia
2018,FINAL,France,Croatia,4,2,Russia
2022,GROUP,Qatar,Ecuador,0,2,Qatar
2022,GROUP,England,Iran,6,2,Qatar
2022,GROUP,Senegal,Netherlands,0,2,Qatar
2022,GROUP,USA,Wales,1,1,Qatar
2022,GROUP,Argentina,Saudi Arabia,1,2,Qatar
2022,GROUP,Denmark,Tunisia,0,0,Qatar
2022,GROUP,Mexico,Poland,0,0,Qatar
2022,GROUP,France,Australia,4,1,Qatar
2022,GROUP,Morocco,Croatia,0,0,Qatar
